pair_id,k_ticker,p_market_id,p_yes_token_id,p_no_token_id,polarity,k_question,p_question,k_expiration_time,p_endDate,min_edge,min_depth_usd,max_age_sec,status,last_verified_at
ef08f7d98c985e07,KXCBAGAME-26JAN23SHADFST-SHAD,0x861d93c8cac447f339a4952450b266ed556874ff4df2506050cc3abc965c54d2,42848156935367656739715361291019013263518026384967699620526026865661512737881,15998368823412991075067394824953966705047780050972049270415236778860672102013,normal,Shanghai Sharks at Fujian Sturgeons Winner?,Will Glasgow Warriors win?,2026-02-06T11:35:00+00:00,2026-02-06T19:45:00+00:00,0.006,50.0,15,active,2026-01-20T14:28:11.882466+00:00
fbaeac86c3453eb1,KXCBAGAME-26JAN23QINNIN-QIN,0x861d93c8cac447f339a4952450b266ed556874ff4df2506050cc3abc965c54d2,42848156935367656739715361291019013263518026384967699620526026865661512737881,15998368823412991075067394824953966705047780050972049270415236778860672102013,normal,Qingdao Eagles at Ningbo Rockets Winner?,Will Glasgow Warriors win?,2026-02-06T11:35:00+00:00,2026-02-06T19:45:00+00:00,0.006,50.0,15,active,2026-01-20T14:37:51.283404+00:00
